start_row,end_row,match_length,a_count,b_count,c_count
15219,15220,2,1,0,1
15224,15225,2,1,0,1
15226,15228,3,1,0,2
15232,15234,3,1,1,1
15239,15240,2,1,0,1
15253,15257,5,2,1,2
15282,15284,3,1,1,1
15290,15292,3,1,1,1
15293,15294,2,1,0,1
15299,15300,2,1,0,1
15311,15312,2,1,0,1
15325,15327,3,1,1,1
15335,15336,2,1,0,1
15360,15361,2,1,0,1
15365,15366,2,1,0,1
15381,15385,5,1,1,3
15389,15390,2,1,0,1
15399,15401,3,2,0,1
15422,15423,2,1,0,1
15432,15434,3,1,1,1
15439,15440,2,1,0,1
15450,15451,2,1,0,1
15475,15481,7,1,0,6
15482,15484,3,2,0,1
15487,15489,3,2,0,1
15492,15494,3,1,1,1
15501,15505,5,2,0,3
15510,15511,2,1,0,1
15515,15518,4,1,2,1
15521,15522,2,1,0,1
15529,15530,2,1,0,1
15534,15535,2,1,0,1
15552,15556,5,4,0,1
15563,15564,2,1,0,1
15566,15568,3,1,0,2
15569,15571,3,2,0,1
15576,15578,3,1,0,2
15579,15581,3,1,1,1
15585,15587,3,1,1,1
15588,15590,3,1,1,1
15597,15599,3,2,0,1
15643,15644,2,1,0,1
15647,15649,3,1,1,1
15657,15658,2,1,0,1
15701,15703,3,1,0,2
15714,15716,3,1,0,2
15717,15719,3,2,0,1
15740,15742,3,2,0,1
15750,15751,2,1,0,1
15762,15765,4,1,1,2
15776,15778,3,2,0,1
15780,15781,2,1,0,1
15782,15785,4,1,0,3
15788,15791,4,1,2,1
15799,15801,3,1,1,1
15811,15814,4,2,1,1
15815,15816,2,1,0,1
15823,15824,2,1,0,1
15844,15846,3,1,1,1
15855,15856,2,1,0,1
15861,15864,4,2,1,1
15870,15871,2,1,0,1
15883,15886,4,2,1,1
15897,15899,3,1,0,2
15914,15915,2,1,0,1
15923,15925,3,1,1,1
15953,15954,2,1,0,1
15973,15975,3,1,1,1
15977,15979,3,1,0,2
15994,15996,3,1,0,2
15997,16000,4,3,0,1
16001,16002,2,1,0,1
16003,16007,5,2,1,2
16020,16022,3,1,0,2
16052,16053,2,1,0,1
16054,16056,3,2,0,1
16073,16074,2,1,0,1
16103,16105,3,1,1,1
16106,16108,3,1,0,2
16121,16125,5,1,1,3
16130,16133,4,1,0,3
16138,16139,2,1,0,1
16150,16151,2,1,0,1
16199,16202,4,2,0,2
16206,16207,2,1,0,1
16226,16227,2,1,0,1
16239,16240,2,1,0,1
16248,16252,5,2,2,1
16265,16267,3,1,0,2
16273,16274,2,1,0,1
16278,16281,4,2,1,1
16286,16288,3,2,0,1
16289,16290,2,1,0,1
16293,16296,4,1,1,2
16309,16311,3,2,0,1
16313,16315,3,2,0,1
16336,16338,3,1,1,1
16353,16355,3,2,0,1
16383,16384,2,1,0,1
16387,16390,4,2,0,2
16428,16429,2,1,0,1
16455,16456,2,1,0,1
16462,16463,2,1,0,1
16464,16466,3,2,0,1
16483,16484,2,1,0,1
16494,16497,4,1,0,3
16504,16508,5,1,3,1
16519,16520,2,1,0,1
16550,16557,8,1,6,1
16575,16576,2,1,0,1
16588,16589,2,1,0,1
16592,16594,3,1,1,1
16604,16605,2,1,0,1
16620,16621,2,1,0,1
16636,16639,4,1,1,2
16642,16644,3,2,0,1
16648,16649,2,1,0,1
16653,16654,2,1,0,1
16672,16673,2,1,0,1
16692,16693,2,1,0,1
16697,16700,4,1,2,1
16708,16709,2,1,0,1
16721,16722,2,1,0,1
16730,16732,3,1,1,1
16758,16759,2,1,0,1
16770,16773,4,2,1,1
16780,16782,3,1,1,1
16785,16786,2,1,0,1
16812,16814,3,2,0,1
16843,16845,3,1,1,1
16865,16867,3,1,1,1
16872,16874,3,2,0,1
16876,16877,2,1,0,1
16882,16883,2,1,0,1
16890,16891,2,1,0,1
16904,16905,2,1,0,1
16919,16921,3,1,0,2
16925,16926,2,1,0,1
16941,16943,3,1,0,2
16968,16971,4,3,0,1
16986,16987,2,1,0,1
16991,16992,2,1,0,1
17004,17005,2,1,0,1
17012,17013,2,1,0,1
17023,17024,2,1,0,1
17036,17039,4,1,0,3
17048,17050,3,1,1,1
17056,17057,2,1,0,1
17064,17068,5,1,3,1
17071,17074,4,3,0,1
17087,17090,4,2,1,1
17107,17110,4,3,0,1
17114,17116,3,1,0,2
17117,17120,4,1,0,3
17183,17184,2,1,0,1
17187,17189,3,1,1,1
17204,17208,5,3,1,1
17217,17219,3,1,0,2
17226,17227,2,1,0,1
17233,17234,2,1,0,1
17267,17268,2,1,0,1
17270,17271,2,1,0,1
17311,17312,2,1,0,1
17317,17320,4,1,2,1
17326,17328,3,2,0,1
17344,17346,3,1,0,2
17347,17348,2,1,0,1
17364,17365,2,1,0,1
17371,17373,3,2,0,1
17393,17395,3,1,1,1
17401,17402,2,1,0,1
17406,17409,4,3,0,1
17437,17439,3,1,0,2
17441,17444,4,1,1,2
17457,17459,3,1,1,1
17460,17464,5,4,0,1
17476,17477,2,1,0,1
17495,17497,3,2,0,1
17510,17511,2,1,0,1
17528,17529,2,1,0,1
17532,17534,3,2,0,1
17545,17547,3,1,1,1
17554,17556,3,1,0,2
17563,17565,3,2,0,1
17576,17578,3,1,1,1
17584,17585,2,1,0,1
17603,17606,4,1,1,2
17607,17611,5,1,3,1
17616,17617,2,1,0,1
17633,17640,8,2,0,6
17766,17769,4,1,1,2
17876,17877,2,1,0,1
17934,17935,2,1,0,1
18083,18084,2,1,0,1
18137,18138,2,1,0,1
18152,18154,3,2,0,1
18453,18454,2,1,0,1
18456,18457,2,1,0,1
18470,18471,2,1,0,1
18543,18546,4,1,0,3
18557,18558,2,1,0,1
18681,18687,7,1,5,1
18692,18693,2,1,0,1
18699,18700,2,1,0,1
18707,18709,3,1,1,1
18717,18720,4,1,2,1
18732,18733,2,1,0,1
18739,18746,8,1,4,3
18759,18764,6,1,2,3
18777,18780,4,1,2,1
18826,18828,3,1,0,2
18835,18838,4,2,0,2
18842,18844,3,1,0,2
18851,18854,4,1,2,1
18858,18859,2,1,0,1
18876,18881,6,1,2,3
18888,18889,2,1,0,1
18905,18906,2,1,0,1
18972,18973,2,1,0,1
18999,19001,3,1,0,2
19023,19024,2,1,0,1
19051,19054,4,1,0,3
19071,19077,7,1,1,5
19395,19396,2,1,0,1
19407,19408,2,1,0,1
19417,19419,3,1,1,1
19443,19446,4,1,2,1
19455,19459,5,1,2,2
19468,19469,2,1,0,1
19474,19475,2,1,0,1
19483,19485,3,1,0,2
19508,19509,2,1,0,1
19604,19605,2,1,0,1
19607,19608,2,1,0,1
19650,19653,4,3,0,1
19654,19656,3,1,1,1
19710,19711,2,1,0,1
19729,19731,3,1,1,1
19735,19738,4,1,2,1
19758,19763,6,4,1,1
19770,19772,3,2,0,1
19785,19787,3,2,0,1
19795,19798,4,3,0,1
19811,19812,2,1,0,1
19840,19841,2,1,0,1
19855,19858,4,1,2,1
19873,19876,4,3,0,1
19882,19884,3,2,0,1
19930,19932,3,1,1,1
